TLW_sedimentTubes.csv,inorganique_g,,0.0001 g,"Le contenu des tubes a été lavé à travers un tamis de 250 microns, filtré par aspiration sur un filtre en fibre de verre de 1,5 micron, séché à 60 degrés Celsius pendant deux jours, brûlé à 500 degrés Celsius pendant deux heures et pesé."
TLW_sedimentTubes.csv,organique_g,,0.0001 g,"Le contenu des tubes a été lavé à travers un tamis de 250 microns, filtré par aspiration sur un filtre en fibre de verre de 1,5 micron, séché à 60 degrés Celsius pendant deux jours, brûlé à 500 degrés Celsius pendant deux heures et pesé. La masse organique (poids sec sans cendres) a été calculée en soustrayant la masse inorganique (poids des cendres) du poids sec avant combustion."
TLW_sedimentTubes.csv,inorganique_gparm2,,0.0001 g,"Masse inorganique (poids des cendres) divisée par la surface du tube (0,000615 mètre carré)."
TLW_sedimentTubes.csv,organique_gparm2,,0.0001 g,"Masse organique (poids sec sans cendres) divisée par la surface du tube (0,000615 mètre carré)."
TLW_sedimentRings.csv,inorganique_g,,0.0001 g,"Le contenu de l’anneau a été lavé à travers un tamis grossier (1 à 4 millimètres) ou fin (0,25 à 1 millimètre), séché à 60 degrés pendant deux jours, brûlé à 500 degrés Celsius pendant deux heures et pesé."
TLW_sedimentRings.csv,organique_g,,0.0001 g,"Le contenu des anneaux a été lavé à travers un tamis grossier (1 à 4 millimètres) ou fin (0,25-1 millimètre), séché à 60 degrés pendant deux jours, brûlé à 500 degrés Celsius pendant deux heures et pesé. La masse organique (poids sec sans cendres) a été calculée en soustrayant la masse inorganique (poids des cendres) du poids sec avant combustion."
TLW_sedimentRings.csv,organique_gparm2,,0.001 g,"La masse organique (poids sec sans cendres) divisée par la surface de l’anneau (0,1 mètre carré)."
TLW_sedimentCores.csv,inorganique_g,,0.0001 g,"Le contenu des carottes a été lavé à travers un tamis grossier (1 à 4 millimètres), fin (0,25 à 1 millimètre) ou très fin (0,0015 à 0,25 millimètre), séché à 60 degrés pendant deux jours, brûlé à 500 degrés Celsius pendant deux heures et pesé."
TLW_sedimentCores.csv,organique_g,,0.0001 g,"Le contenu des carottes a été lavé à travers un tamis grossier (1 à 4 millimètres), fin (0,25 à 1 millimètre) ou très fin (0,0015 à 0,25 millimètre), séché à 60 degrés pendant deux jours, brûlé à 500 degrés Celsius pendant deux heures et pesé. La masse organique (poids sec sans cendres) a été calculée en soustrayant la masse inorganique (poids des cendres) du poids sec avant combustion."
TLW_sedimentCores.csv,inorganique_gparm2,,0.001 g,"Masse inorganique divisée par la surface de la carotte (0,025 mètre carré)."
TLW_sedimentCores.csv,organique_gparm2,,0.001 g,"Masse organique (poids sec sans cendres) divisée par la surface de la carotte (0,025 mètre carré)."
TLW_sedimentCores.csv,sedimenttotal_gparm2,,0.001 g,Somme des masses inorganique et organique des sédiments par mètre carré.
TLW_streamHabitatSurveys.csv,distance_m,,10 m,Les caractéristiques de l’habitat du cours d’eau ont été enregistrées tous les 10 mètres sur toute la longueur du cours d’eau.
TLW_streamHabitatSurveys.csv,largeur_m,,0.01 m,Largeur de l’ensemble du lit du cours d’eau; pas seulement le débit d’eau actuel.
TLW_streamHabitatSurveys.csv,profondeurX_cm,,1 cm,Les études de l’habitat du cours d’eau réalisées en 2000 ont mesuré la profondeur du cours d’eau en centimètres en cinq points sur la largeur du canal et ne sont pas considérées comme de véritables réplicats.
TLW_streamHabitatSurveys.csv,pente,,inconnu,La pente a été estimée qualitativement sur la base d’une section d’environ 50 mètres à portée de vue.
